symbol,strategy_name,Total Return [%],Sharpe Ratio,Max Drawdown [%],Win Rate [%],Expectancy,Exposure Time [%]
ETHBTC,VWAP Reversion,-3.066513454943697,-0.30041418502450545,25.343749999999993,88.88888888888889,1.2845727113332206,56.9593253968254
WBTCBTC,VWAP Reversion,0.0,inf,,,,0.0
SOLBTC,VWAP Reversion,-11.830945874661596,-1.7866395734469134,29.16228866176328,85.71428571428571,4.878735488039167,87.26438492063492
XRPBTC,VWAP Reversion,2.1811636060187314,0.7523228137708368,32.630146308268124,90.0,1.9024871244719428,32.29414682539682
BERABTC,VWAP Reversion,0.02185122244776494,1.1105903443264955,55.75363223103663,87.5,0.027314028059720385,87.81076066790352
KAITOBTC,VWAP Reversion,11.247835050298079,3.445462007827852,33.562752798509784,87.5,14.059793812872604,4.64696223316913
LTCBTC,VWAP Reversion,-9.454024122170166,-1.843934372418653,29.022026924124816,75.0,-23.6350603054254,16.922123015873016
RUNEBTC,VWAP Reversion,-15.10459485553165,-0.9277499403905135,53.101736972704714,92.3076923076923,-11.618919119639719,36.329365079365076
DOGEBTC,VWAP Reversion,-11.724162246955064,-0.6703675584887336,30.312499999999996,88.88888888888889,-2.5501900792253203,69.68501984126985
BNBBTC,VWAP Reversion,-5.031954289599628,-1.6547921080908192,15.846829120629641,50.0,-25.159771447998153,24.56597222222222
LAYERBTC,VWAP Reversion,-15.820748969481201,-0.23853848852573825,47.49099183362526,83.33333333333334,-1.321136732578669,98.04625199362042
LINKBTC,VWAP Reversion,-25.27253743397412,-3.720771568698951,32.430013894117984,33.33333333333333,-49.591937506785925,95.33482142857143
HEIBTC,VWAP Reversion,-34.61710325672209,-3.312048381209087,53.956228956228955,100.0,30.382375448283266,99.4813829787234
QTUMBTC,VWAP Reversion,12.140457681283783,1.7554388130767888,38.0019831432821,93.75,19.25000038059399,96.9766865079365
SHELLBTC,VWAP Reversion,-3.358718885368467,-0.6932978837726288,22.702702702702705,100.0,37.893731732671554,69.76190476190476
SUIBTC,VWAP Reversion,-2.075522372447313,0.21081843156719043,33.29097839898348,90.0,-2.7279631822528394,44.57093253968254
NEOBTC,VWAP Reversion,-21.58055242172229,-3.154940394555484,35.54952510176391,,,98.55654761904762
TAOBTC,VWAP Reversion,-10.491681407269017,-1.1217310220829444,39.75197294250282,85.71428571428571,-12.974388789272478,22.571924603174605
HBARBTC,VWAP Reversion,-11.60741784334208,-0.04651318023536814,33.44481605351171,66.66666666666666,-19.345696405570145,88.20684523809523
TRXBTC,VWAP Reversion,-5.257776749699439,-0.6097941611725569,12.09677419354839,0.0,-52.57776749699438,16.9171626984127
